Реєстр вулиць та інших поіменованих елементів міської вулично-дорожньої мережі міста Києва;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ п/п;Унікальний цифровий код об'єкта;Повне офіційне найменування об'єкта;Категорія (тип) об'єкта;Адміністративний район;Документ про присвоєння найменування об'єкта;Реквізити документу про найменування обєкту вулично-дорожньої мережі;;;Місце розташування об'єкта на території міста;Колишні найменування об'єкта;;;;;;;;;;;;;;;;;;;
;;;;;;Дата документу про присвоєння найменування об'єкта;Номер документу про присвоєння найменування об'єкта;Заголовок документу про присвоєння найменування об'єкта;;Найменування об'єкта;Категорія (тип) об'єкта;;;;;;;;;;;;;;;;;;
86;10052;Бакуніна;вулиця;Солом'янський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;20.08.1957;1428;Про найменування та перейменування вулиць м. Києва;Пролягає від Новопольової вул. до тупика.;;;;;;;;;;;;;;;;;;;;
87;10053;Балакірева;вулиця;Голосіївський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;05.07.1955;857;Про перейменування вулиць м. Києва;Пролягає від Лобановського Валерія просп. до Козацької вул.;;;;;;;;;;;;;;;;;;;;
88;10055;Балаклієвська;вулиця;Шевченківський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;29.12.1953;2610;Про найменування міських вулиць;Пролягає від парку “Нивки” до Гончарова, вул.;;;;;;;;;;;;;;;;;;;;
89;10056;Балтійський;провулок;Оболонський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;03.01.1952;5;Про зміну найменувань вулиць;Пролягає від Скляренка Семена, вул. до тупика.;;;;;;;;;;;;;;;;;;;;
90;10057;Бальзака Оноре де;вулиця;Деснянський;Рішення виконавчого комітету Київської міської ради народних депутатів;18.04.1983;613;Про впорядкування найменувань та перейменувань вулиць м. Києва;Пролягає від Романа Шухевича, просп. до Милославської вул. ;;;;;;;;;;;;;;;;;;;;
91;10058;Банкова;вулиця;Печерський;Розпорядження Представника Президента України у місті Києві;11.09.1992;1043;Про повернення вулицям історичних назв;Пролягає від Інститутської вул. до Круглоуніверситетської вул. ;;;;;;;;;;;;;;;;;;;;
92;10060;Баренбойма;вулиця;Голосіївський;Рішення виконавчого комітету Київської міської ради народних депутатів;29.12.1984;1116;Про перейменування та найменування вулиць і площ м. Києва;Пролягає від Наддніпрянського шосе до кінця забудови.;;;;;;;;;;;;;;;;;;;;
93;10061;Барикадна;вулиця;Голосіївський;-;-;-;-;Виникла у 1-й пол. 20 ст. Пролягає від Пирогівський шлях, вул. до кінця забудови.;;;;;;;;;;;;;;;;;;;;
94;11766;Баришівська;вулиця;Печерський;Рішення Київської міської ради;08.10.2015;128/2031;«Про повернення історичних назв вулицям та провулкам у місті Києві»;Пролягає від Матросова Олександра, вул. до Товарної вул.;Івана Фіалека;вулиця;;;;;;;;;;;;;;;;;;
95;10062;Басейна;вулиця;Печерський, Шевченківський;-;-;-;-;Виникла у 30-ті рр. 19 ст. Пролягає від Бессарабської пл. до Шовковичної вул. і Госпітальної вул.;;;;;;;;;;;;;;;;;;;;
96;10063;Бастіонна;вулиця;Печерський;Рішення виконавчого комітету Київської міської ради депутатів трудящих;19.03.1940;25/20;Про перейменування вулиць по Кіровському району ;Пролягає від Печерського мосту і Бойчука Михайла, вул. до Тимірязєвської вул.;;;;;;;;;;;;;;;;;;;;
